attage,sex,smoker,exposure,actual_dths,expected_dths,actual_mort,expected_mort
98,U,N,0.4438,0,0.06884,0,0.155114917
98,U,S,0.7514,0,0.14702,0,0.195661432
98,U,U,5.7402,2,1.08774,0.348419916,0.18949514
99,F,N,10.4082,2,1.69412,0.192156185,0.162767818
99,F,S,9.6615,3,1.79871,0.31051079,0.186172955
99,F,U,89.0833,19,16.23486,0.213283522,0.182243585
99,M,N,9.2627,2,2.09789,0.215919764,0.226487957
99,M,S,26.316,4,6.70924,0.151998784,0.25494908
99,M,U,152.7201,31,37.66747,0.202985724,0.246643827
99,U,N,0.8712,1,0.21146,1,0.242722681
99,U,U,7.9206,3,1.66507,0.378759185,0.210220185
100,F,N,9.0761,3,1.53725,0.330538447,0.169373409
100,F,S,9.7714,1,2.12657,0.102339481,0.217632069
100,F,U,73.3421,12,14.42063,0.163616804,0.196621449
100,M,N,7.6519,1,1.97103,0.130686496,0.257587005
100,M,S,25.4027,7,6.85616,0.275561259,0.269898869
100,M,U,103.401,27,27.00333,0.261119332,0.261151536
